Subject,Year,Session,ExamType,PaperNumber,PDF_Link
General Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Urology Paper1.pdf
General Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Thoracic Surgery Paper3.pdf
General Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Thoracic Surgery Paper2.pdf
General Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Thoracic Surgery Paper1.pdf
General Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Surgical Oncology Paper3.pdf
General Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Surgical Oncology Paper2.pdf
General Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Surgical Oncology Paper1.pdf
Gastroenterology,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Surgical Gastroenterology Paper3.pdf
Gastroenterology,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Surgical Gastroenterology Paper2.pdf
Gastroenterology,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Surgical Gastroenterology Paper1.pdf
Plastic and Reconstructive Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Plastic and Reconstructive Surgery Paper3.pdf
Plastic and Reconstructive Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Plastic and Reconstructive Surgery Paper2.pdf
Plastic and Reconstructive Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Plastic and Reconstructive Surgery Paper1.pdf
Plastic And Reconstructive Surgery Direct 6 Years Course Part 2 Final,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Plastic And Reconstructive Surgery Direct 6 Years Course Part 2 Final Paper 3.pdf
Plastic and Reconstructive Surgery Direct 6 years course Part 2 Final,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Plastic and Reconstructive Surgery Direct 6 years course Part 2 Final Paper 2.pdf
Plastic and Reconstructive Surgery Direct 6 years course Part 1,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Plastic and Reconstructive Surgery Direct 6 years course Part 1 Paper2.pdf
Plastic and Reconstructive Surgery Direct 6 years course Part 1,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Plastic and Reconstructive Surgery Direct 6 years course Part 1 Paper 1.pdf
